image_file,adj1,adj2,adj1not,adj2not,feature1,feature2,num_objs1,num_objs2,position,position_word,obj1shape,obj1color,obj1pattern,obj2shape,obj2color,obj2pattern,obj3shape,obj3color,obj3pattern,question_speaker,question_free_speaker,question_listener_1,question_listener_2
cond4_001.jpeg,green,spotted,blue,striped,color,pattern,2,2,2,middle,triangle,blue,striped,triangle,green,spotted,triangle,green,spotted,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'green' or 'spotted'?",Imagine you are talking to someone and you want to refer to the middle object. What will you say?,Imagine someone is talking to you and uses the word 'green' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'spotted' to refer to one of the objects. Which object do you think they are talking about?
cond4_002.jpeg,spotted,green,striped,blue,pattern,color,2,2_diff,2,middle,triangle,green,striped,triangle,green,spotted,triangle,blue,spotted,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'spotted' or 'green'?",Imagine you are talking to someone and you want to refer to the middle object. What will you say?,Imagine someone is talking to you and uses the word 'spotted' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'green' to refer to one of the objects. Which object do you think they are talking about?
cond4_003.jpeg,square,spotted,circle,striped,shape,pattern,2,2,2,middle,square,red,spotted,square,red,spotted,circle,red,striped,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'square' or 'spotted'?",Imagine you are talking to someone and you want to refer to the middle object. What will you say?,Imagine someone is talking to you and uses the word 'square' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'spotted' to refer to one of the objects. Which object do you think they are talking about?
cond4_004.jpeg,circle,striped,square,spotted,shape,pattern,2,2_diff,2,middle,square,red,striped,circle,red,striped,circle,red,spotted,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'circle' or 'striped'?",Imagine you are talking to someone and you want to refer to the middle object. What will you say?,Imagine someone is talking to you and uses the word 'circle' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'striped' to refer to one of the objects. Which object do you think they are talking about?
cond4_005.jpeg,blue,circle,green,square,color,shape,2,2,2,middle,square,green,checked,circle,blue,checked,circle,blue,checked,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'blue' or 'circle'?",Imagine you are talking to someone and you want to refer to the middle object. What will you say?,Imagine someone is talking to you and uses the word 'blue' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'circle' to refer to one of the objects. Which object do you think they are talking about?
cond4_006.jpeg,green,circle,blue,square,color,shape,2,2,3,rightmost,circle,green,checked,square,blue,checked,circle,green,checked,"Imagine you are talking to someone and you want to refer to the rightmost object. Which word would you use, 'green' or 'circle'?",Imagine you are talking to someone and you want to refer to the rightmost object. What will you say?,Imagine someone is talking to you and uses the word 'green' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'circle' to refer to one of the objects. Which object do you think they are talking about?
cond4_007.jpeg,spotted,square,striped,circle,pattern,shape,2,2_diff,2,middle,square,red,striped,square,red,spotted,circle,red,spotted,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'spotted' or 'square'?",Imagine you are talking to someone and you want to refer to the middle object. What will you say?,Imagine someone is talking to you and uses the word 'spotted' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'square' to refer to one of the objects. Which object do you think they are talking about?
cond4_008.jpeg,square,green,circle,blue,shape,color,2,2_diff,3,rightmost,square,blue,checked,circle,green,checked,square,green,checked,"Imagine you are talking to someone and you want to refer to the rightmost object. Which word would you use, 'square' or 'green'?",Imagine you are talking to someone and you want to refer to the rightmost object. What will you say?,Imagine someone is talking to you and uses the word 'square' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'green' to refer to one of the objects. Which object do you think they are talking about?
cond4_009.jpeg,square,striped,circle,spotted,shape,pattern,2,2,3,rightmost,circle,red,spotted,square,red,striped,square,red,striped,"Imagine you are talking to someone and you want to refer to the rightmost object. Which word would you use, 'square' or 'striped'?",Imagine you are talking to someone and you want to refer to the rightmost object. What will you say?,Imagine someone is talking to you and uses the word 'square' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'striped' to refer to one of the objects. Which object do you think they are talking about?
cond4_010.jpeg,spotted,green,striped,blue,pattern,color,2,2_diff,2,middle,triangle,green,striped,triangle,green,spotted,triangle,blue,spotted,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'spotted' or 'green'?",Imagine you are talking to someone and you want to refer to the middle object. What will you say?,Imagine someone is talking to you and uses the word 'spotted' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'green' to refer to one of the objects. Which object do you think they are talking about?
